,CompetitionId,DurationInt,M4_launch,M4_3,M4_7,M4_15,M4_30,M4_deadline,M4_IsClamped
350,3876.0,29.0,14.0,14.0,14.0,14.0,14.0,14.0,1.0
351,3877.0,3.0,537.0,537.0,537.0,537.0,537.0,537.0,1.0
352,3878.0,3.0,537.0,537.0,537.0,537.0,537.0,537.0,1.0
353,3879.0,12.0,7838.0,7880.0,7908.0,8083.0,8083.0,8083.0,
354,3880.0,25.0,378.0,378.0,378.0,378.0,378.0,378.0,1.0
355,3881.0,45.0,56.0,56.0,56.0,56.0,56.0,56.0,1.0
356,3883.0,15.0,28.0,28.0,28.0,28.0,28.0,28.0,1.0
357,3884.0,17.0,13.0,13.0,13.0,13.0,13.0,13.0,1.0
358,3889.0,30.0,327.0,327.0,327.0,327.0,327.0,327.0,1.0
359,3890.0,8.0,8083.0,8299.0,8538.0,8614.0,8614.0,8614.0,
360,3891.0,8.0,8083.0,8299.0,8538.0,8614.0,8614.0,8614.0,
361,3892.0,17.0,293.0,293.0,293.0,293.0,293.0,293.0,1.0
362,3893.0,37.0,338.0,338.0,338.0,338.0,338.0,338.0,1.0
363,3895.0,37.0,27.0,27.0,27.0,27.0,27.0,27.0,1.0
364,3896.0,40.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0
